CoVIC ID,Isotype,Epitope Community (RBD),ADCP,mADCP,ADNP,mADNP,ADCD,ADNKA_CD107a,ADNKA_MIP-1b,FcgR2aR,FcgR3aV,FcgR2b,FcgR3b,FcRn,mFcR2b,mFcR3,mFcR4,(0.5 mg/mL) % survival,(1.5 mg/mL) % survival,IC50_WA1 (ng/mL),IC80_WA1 (ng/mL),IC50_UTMB (ng/mL),IC80_UTMB (ng/mL),IC90_UTMB (ng/mL),neut_cluster
137,IgG,,-1.6869614067681677,0.6197354211739384,-0.59676575958741,-0.9753939488621246,-1.5153231994812597,0.151321981064262,-0.3646451433910616,-1.2866558755290143,-1.284584329211906,-1.3493038405082778,-0.8803659048848472,-1.6184135477389674,-0.5810994846139952,-0.4308097100194311,-0.9664053789855965,,10.0,2.7660732132215697,2.3728067210825534,2.1995721945617484,1.9440340124978701,1.7553941797015862,2
140,IgG,2.0,-0.8716575545197256,0.38881540863533104,-0.5891111719556512,-0.5417299291931399,-1.4797616028366223,0.01153000529540869,-0.5303301972794751,-1.3251465622266594,-1.285204981859958,-1.3471950601201808,-0.8804207124878037,-1.6199442333547263,-0.5817202404271395,-0.6430041639493032,-0.970622350441294,,100.0,0.1481921424192716,0.36682117193913627,1.1606181180443886,1.4487962947788808,1.5907026150714867,2
142,IgG,2.0,0.4979499871062434,-0.7923964799109293,0.41056560390550184,1.634141312894785,-0.18341051725148616,0.060009993621685694,0.7822707068982069,0.9244803905196445,0.9059191794101676,1.0277538129850656,1.1111527754925974,1.1816735186300142,1.2884743525194302,1.4393293626366541,1.0556320432693134,10.0,,0.1948787348701292,0.30946899772777386,0.35626280278855244,0.32121644973530783,0.2948652338164642,1
143,IgG,1.0,-1.1813841550487736,-1.5580649148903314,-0.42496269920055596,1.5251587852787991,-1.2480340937855499,0.0703708392307017,0.8857742917622519,-1.297083980862574,-1.2763169904813616,-1.3433586203766092,-0.8783630190564031,-1.617376447270944,-0.5825075866260875,-0.4183510385405654,-0.8730245128892055,10.0,0.0,-0.047466374507476025,0.05412967483656425,0.7543834512544008,0.535309412729359,0.3960272114172815,1
145,IgG1,7.0,0.6919296845745104,-0.9631312876352613,-0.37767350806701055,0.7704206554857526,-0.41253649594578007,0.20491062327696172,0.23248190026731547,0.5706692210146243,0.5198845818072303,0.39202040764410057,0.47229221326583576,-0.2952754480083387,-0.4463684059186047,0.4117231809970674,0.570169058850833,10.0,10.0,0.03055132476615428,0.07328942978863695,-0.06078934853899845,0.08153199285014182,0.16288340492782033,1
147,IgG1,2.0,1.1770323234720241,2.061513922538832,2.718721268245598,1.6530491472760453,2.224337616713086,0.30777157399896754,0.9217459155969745,1.1023568022142936,1.1145768263861724,1.2399958691389439,1.2275133347841116,1.3191125951996814,2.701013946828304,2.1862534657924133,1.2875431534016,10.0,,-1.1728822097601048,-1.2157588580691343,-1.0436995029875746,-1.28777266588672,-1.4060811474929402,3
148,IgG1,2.0,0.8230964652611599,-0.03946549578243541,-0.05338758099623878,-0.3375660197782252,-0.20147823725379888,0.0746106824227674,0.9881917011702717,0.9124416973047464,0.8926976966618304,1.0826223991078585,1.101383814461691,1.1046920611654805,1.653473881003998,0.5606381822456448,1.2255988668680744,80.0,,-1.1728822097601048,-0.970128885916922,-0.9006281645294496,-0.9747469899478443,-0.9978171503066336,3
149,IgG1,5.0,-0.7335577731332481,-1.3614437960783596,-0.5827568338717857,-0.22585855230785648,-0.2601370223115924,-0.19805334984326475,-0.09229299004512163,-1.3048780786281584,-1.2827606824046096,-1.3430271614016676,-0.8800865699965946,-1.614547346675146,-0.5807707825786667,-0.23104683151316607,-0.8845054103177088,,0.0,0.09429642650852378,0.07328942978863695,0.15895093431659646,0.28744092379306024,0.3581497446084307,1
150,IgG1,2.0,-1.1556565333610669,-0.6081800981653757,-0.13981245591180688,-0.3399791568791098,-0.778639695000439,0.01458876750834319,0.19112109334038216,-1.3050424830797311,-1.2835748767878512,-1.345216623355459,-0.6094351923207684,-1.616148647610863,-0.5813635030186836,-0.18070566374301508,-0.8848400602676264,,0.0,1.0231785749093991,0.8519180183899108,0.2614747051309506,0.3046639765622766,0.3241726977612287,1
153,IgG1,2.0,-1.4141649327329704,-0.11013838946579373,-0.40942814119456966,-1.0047516202673359,-1.8819489908340326,0.042813405830294395,0.22887819644797916,-1.3087666032394227,-1.285128526677436,-1.3468563314743602,-0.880569159973901,-1.6138840218833719,-0.5819830759183667,-0.8095406058560756,-0.9657771752181078,10.0,,0.1723141257821542,0.012391001059996753,0.2614747051309506,0.1695628185360547,0.11334370855328163,1
